Well,Line Name,OD340,H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],,,,,,
C7,C5.1_WD5_F5-R3,0.7337,0.021665,20,0.716594,2.211578,0.058865,16.808802,0.379974,460.093519,0.000246,0.002152,0.001374,0.003696,0.000377,,,,,,
C8,C5.1_WD5_F5-R3,0.7337,0.021665,20,0.716594,2.211578,0.058865,16.808802,0.379974,460.093519,0.000246,0.002152,0.001374,0.003696,0.000377,,,,,,
D1,C3_WA7_C7-R1,0.1933,0.000647,4.213814,1.678308,4.062872,0.098552,8.959183,0.094732,385.729643,0.00021,0.002937,0.000831,0.00308,0.000515,,,,,,
D2,C3_WA7_C7-R1,0.1933,0.000647,4.213814,1.678308,4.062872,0.098552,8.959183,0.094732,385.729643,0.00021,0.002937,0.000831,0.00308,0.000515,,,,,,
D3,C3_WA7_C7-R2,0.1949,0.000647,4.213814,1.678308,4.062872,0.098552,8.959183,0.094732,385.729643,0.00021,0.002937,0.000831,0.00308,0.000515,,,,,,
D4,C3_WA7_C7-R2,0.1949,0.000647,4.213814,1.678308,4.062872,0.098552,8.959183,0.094732,385.729643,0.00021,0.002937,0.000831,0.00308,0.000515,,,,,,
D5,C3_WA7_C7-R3,0.1961,0.000647,4.213814,1.678308,4.062872,0.098552,8.959183,0.094732,385.729643,0.00021,0.002937,0.000831,0.00308,0.000515,,,,,,
D6,C3_WA7_C7-R3,0.1961,0.000647,4.213814,1.678308,4.062872,0.098552,8.959183,0.094732,385.729643,0.00021,0.002937,0.000831,0.00308,0.000515,,,,,,
D7,C3_WD5_F5-R1,0.0001,0.035365,125.070509,2.658501,2.043345,0.025682,9.077471,4.940375,463.312797,0.000127,0.000656,0.000211,0.001853,0.00099,,,,,,
D8,C3_WD5_F5-R1,0.0001,0.035365,125.070509,2.658501,2.043345,0.025682,9.077471,4.940375,463.312797,0.000127,0.000656,0.000211,0.001853,0.00099,,,,,,
E1,C3_WD5_F5-R2,0.0001,0.035365,125.070509,2.658501,2.043345,0.025682,9.077471,4.940375,463.312797,0.000127,0.000656,0.000211,0.001853,0.00099,,,,,,
E2,C3_WD5_F5-R2,0.0001,0.035365,125.070509,2.658501,2.043345,0.025682,9.077471,4.940375,463.312797,0.000127,0.000656,0.000211,0.001853,0.00099,,,,,,
E3,C3_WD5_F5-R3,0.0001,0.035365,125.070509,2.658501,2.043345,0.025682,9.077471,4.940375,463.312797,0.000127,0.000656,0.000211,0.001853,0.00099,,,,,,
E4,C3_WD5_F5-R3,0.0001,0.035365,125.070509,2.658501,2.043345,0.025682,9.077471,4.940375,463.312797,0.000127,0.000656,0.000211,0.001853,0.00099,,,,,,
E5,C4_WA6_C6-R1,0.13,0.034935,2.620795,1.899662,0.98637,0.0754,9.461043,4.454125,438.647562,0.000249,0.002729,0.000595,0.001217,0.000957,,,,,,
E6,C4_WA6_C6-R1,0.13,0.034935,2.620795,1.899662,0.98637,0.0754,9.461043,4.454125,438.647562,0.000249,0.002729,0.000595,0.001217,0.000957,,,,,,
E7,C4_WA6_C6-R2,0.1377,0.034935,2.620795,1.899662,0.98637,0.0754,9.461043,4.454125,438.647562,0.000249,0.002729,0.000595,0.001217,0.000957,,,,,,
E8,C4_WA6_C6-R2,0.1377,0.034935,2.620795,1.899662,0.98637,0.0754,9.461043,4.454125,438.647562,0.000249,0.002729,0.000595,0.001217,0.000957,,,,,,
F1,C4_WA6_C6-R3,0.1328,0.034935,2.620795,1.899662,0.98637,0.0754,9.461043,4.454125,438.647562,0.000249,0.002729,0.000595,0.001217,0.000957,,,,,,
F2,C4_WA6_C6-R3,0.1328,0.034935,2.620795,1.899662,0.98637,0.0754,9.461043,4.454125,438.647562,0.000249,0.002729,0.000595,0.001217,0.000957,,,,,,
F3,C3_WD8_F8-R1,0.2673,0.00404,20.702191,0.284786,1.195734,0.009621,8.606283,0.477038,50.425498,3.00E-05,0.000278,9.70E-05,0.000765,0.000105,,,,,,
F4,C3_WD8_F8-R1,0.2673,0.00404,20.702191,0.284786,1.195734,0.009621,8.606283,0.477038,50.425498,3.00E-05,0.000278,9.70E-05,0.000765,0.000105,,,,,,
F5,C3_WD8_F8-R2,0.2777,0.00404,20.702191,0.284786,1.195734,0.009621,8.606283,0.477038,50.425498,3.00E-05,0.000278,9.70E-05,0.000765,0.000105,,,,,,
F6,C3_WD8_F8-R2,0.2777,0.00404,20.702191,0.284786,1.195734,0.009621,8.606283,0.477038,50.425498,3.00E-05,0.000278,9.70E-05,0.000765,0.000105,,,,,,
F7,C3_WD8_F8-R3,0.2613,0.00404,20.702191,0.284786,1.195734,0.009621,8.606283,0.477038,50.425498,3.00E-05,0.000278,9.70E-05,0.000765,0.000105,,,,,,
F8,C3_WD8_F8-R3,0.2613,0.00404,20.702191,0.284786,1.195734,0.009621,8.606283,0.477038,50.425498,3.00E-05,0.000278,9.70E-05,0.000765,0.000105,,,,,,
