Well,MOPS[mM],Tricine[mM],H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],Kan[g/l]
C2,40.0,4.0,0.015798,20.0,0.801194,3.393851,0.066774,11.368197,0.590902,405.639898,0.000209,0.001154,0.003318,0.004075,0.000986,0.05
C3,40.0,4.0,0.021665,20.0,0.716594,2.211578,0.058865,16.808802,0.379974,460.093519,0.000246,0.002152,0.001374,0.003696,0.000377,0.05
C4,40.0,4.0,0.021665,20.0,0.716594,2.211578,0.058865,16.808802,0.379974,460.093519,0.000246,0.002152,0.001374,0.003696,0.000377,0.05
C5,40.0,4.0,0.021665,20.0,0.716594,2.211578,0.058865,16.808802,0.379974,460.093519,0.000246,0.002152,0.001374,0.003696,0.000377,0.05
C6,40.0,4.0,0.021665,20.0,0.716594,2.211578,0.058865,16.808802,0.379974,460.093519,0.000246,0.002152,0.001374,0.003696,0.000377,0.05
C7,40.0,4.0,0.021665,20.0,0.716594,2.211578,0.058865,16.808802,0.379974,460.093519,0.000246,0.002152,0.001374,0.003696,0.000377,0.05
C8,40.0,4.0,0.021665,20.0,0.716594,2.211578,0.058865,16.808802,0.379974,460.093519,0.000246,0.002152,0.001374,0.003696,0.000377,0.05
D1,40.0,4.0,0.000647,4.213814,1.678308,4.062872,0.098552,8.959183,0.094732,385.729643,0.00021,0.002937,0.000831,0.00308,0.000515,0.05
D2,40.0,4.0,0.000647,4.213814,1.678308,4.062872,0.098552,8.959183,0.094732,385.729643,0.00021,0.002937,0.000831,0.00308,0.000515,0.05
D3,40.0,4.0,0.000647,4.213814,1.678308,4.062872,0.098552,8.959183,0.094732,385.729643,0.00021,0.002937,0.000831,0.00308,0.000515,0.05
D4,40.0,4.0,0.000647,4.213814,1.678308,4.062872,0.098552,8.959183,0.094732,385.729643,0.00021,0.002937,0.000831,0.00308,0.000515,0.05
D5,40.0,4.0,0.000647,4.213814,1.678308,4.062872,0.098552,8.959183,0.094732,385.729643,0.00021,0.002937,0.000831,0.00308,0.000515,0.05
D6,40.0,4.0,0.000647,4.213814,1.678308,4.062872,0.098552,8.959183,0.094732,385.729643,0.00021,0.002937,0.000831,0.00308,0.000515,0.05
D7,40.0,4.0,0.035365,125.070509,2.658501,2.043345,0.025682,9.077471,4.940375,463.312797,0.000127,0.000656,0.000211,0.001853,0.00099,0.05
D8,40.0,4.0,0.035365,125.070509,2.658501,2.043345,0.025682,9.077471,4.940375,463.312797,0.000127,0.000656,0.000211,0.001853,0.00099,0.05
E1,40.0,4.0,0.035365,125.070509,2.658501,2.043345,0.025682,9.077471,4.940375,463.312797,0.000127,0.000656,0.000211,0.001853,0.00099,0.05
E2,40.0,4.0,0.035365,125.070509,2.658501,2.043345,0.025682,9.077471,4.940375,463.312797,0.000127,0.000656,0.000211,0.001853,0.00099,0.05
E3,40.0,4.0,0.035365,125.070509,2.658501,2.043345,0.025682,9.077471,4.940375,463.312797,0.000127,0.000656,0.000211,0.001853,0.00099,0.05
E4,40.0,4.0,0.035365,125.070509,2.658501,2.043345,0.025682,9.077471,4.940375,463.312797,0.000127,0.000656,0.000211,0.001853,0.00099,0.05
E5,40.0,4.0,0.034935,2.620795,1.899662,0.98637,0.0754,9.461043,4.454125,438.647562,0.000249,0.002729,0.000595,0.001217,0.000957,0.05
E6,40.0,4.0,0.034935,2.620795,1.899662,0.98637,0.0754,9.461043,4.454125,438.647562,0.000249,0.002729,0.000595,0.001217,0.000957,0.05
E7,40.0,4.0,0.034935,2.620795,1.899662,0.98637,0.0754,9.461043,4.454125,438.647562,0.000249,0.002729,0.000595,0.001217,0.000957,0.05
E8,40.0,4.0,0.034935,2.620795,1.899662,0.98637,0.0754,9.461043,4.454125,438.647562,0.000249,0.002729,0.000595,0.001217,0.000957,0.05
F1,40.0,4.0,0.034935,2.620795,1.899662,0.98637,0.0754,9.461043,4.454125,438.647562,0.000249,0.002729,0.000595,0.001217,0.000957,0.05
F2,40.0,4.0,0.034935,2.620795,1.899662,0.98637,0.0754,9.461043,4.454125,438.647562,0.000249,0.002729,0.000595,0.001217,0.000957,0.05
F3,40.0,4.0,0.00404,20.702191,0.284786,1.195734,0.009621,8.606283,0.477038,50.425498,3e-05,0.000278,9.7e-05,0.000765,0.000105,0.05
F4,40.0,4.0,0.00404,20.702191,0.284786,1.195734,0.009621,8.606283,0.477038,50.425498,3e-05,0.000278,9.7e-05,0.000765,0.000105,0.05
F5,40.0,4.0,0.00404,20.702191,0.284786,1.195734,0.009621,8.606283,0.477038,50.425498,3e-05,0.000278,9.7e-05,0.000765,0.000105,0.05
F6,40.0,4.0,0.00404,20.702191,0.284786,1.195734,0.009621,8.606283,0.477038,50.425498,3e-05,0.000278,9.7e-05,0.000765,0.000105,0.05
F7,40.0,4.0,0.00404,20.702191,0.284786,1.195734,0.009621,8.606283,0.477038,50.425498,3e-05,0.000278,9.7e-05,0.000765,0.000105,0.05
F8,40.0,4.0,0.00404,20.702191,0.284786,1.195734,0.009621,8.606283,0.477038,50.425498,3e-05,0.000278,9.7e-05,0.000765,0.000105,0.05
